"Municipality","SFY 2000-2001","SFY 2001-2002","SFY 2002-2003","SFY 2003-2004","SFY 2004-2005","SFY 2005-2006","SFY 2006-2007","SFY 2007-2008","SFY 2008-2009","SFY 2009-2010","SFY 2010-2011","SFY 2011-2012","SFY 2012-2013","SFY 2013-2014"
"Norfolk",229289157,271586775,274831050,299545070,285847696,386583624,443272352,421545603,425726619,442989643,382020959,434258317,370367225,379041219
"North Branford",1095203330,1220528979,1224649054,1538791834,1768184166,1965766156,1809274440,1979674513,1983467813,1863009222,1917957235,1790264873,1731652915,1785286052
"North Canaan",312020559,312374060,363751155,360345457,437040223,488683484,542283303,544916147,522658314,521255306,468661522,380117948,421768606,440728486
"North Haven",2901127977,2885496446,3358601083,3524217369,4048248184,4550897715,3270482531,4101886907,4673548530,4264040807,4165595867,3934550279,3669842887,3814425244
"North Stonington",450247584,464810420,602754771,697495573,782761265,859732689,847296936,918071623,953246635,845341288,832305656,773412110,750776096,765610254
"Norwalk",9035555854,12290047085,11717836040,15576343985,10506546590,15734793669,18873044733,20898752371,20990084209,18035743033,17356987045,16955393390,16560812571,16572378408
"Norwich",1647368641,1945909064,2155511704,2512264380,2502935567,3276807433,3592741013,3559365625,3615569261,3400921849,3147981409,2942693727,2919737142,2936727830
"Old Lyme",1253570329,1253089687,1614562129,1828403403,2096600541,2094246353,2484347964,2613630524,2448699331,2235912077,2317632930,2120679355,2132599269,2251479918
"Old Saybrook",1557765720,1897096319,2133757236,2505294066,2642204519,3304402788,3405122465,3486106583,3416096296,3638339563,3173317525,3026981891,2806949497,2994856250
"Orange",1871269974,1901744661,2386085476,2568986458,2913358759,3158462689,3153871254,2257737784,2491548161,2393418493,2388947380,2268631410,2124005571,2704439983
"Oxford",964755572,943883283,1212270909,1393484667,1573618147,1865790843,1826971397,2130026619,2122957162,2061759240,2090210295,1995523927,1971212881,2060045317
"Plainfield",753221890,807642136,907407990,915951711,1150451351,1416799189,1627130810,1690180991,1498214867,1377877084,1368849725,1382986125,1139986603,1194642329
"Plainville",1235429821,1290667614,1514460580,1751125209,1884378411,2005566044,2186591339,1996146743,2215922414,2219047278,1970066222,1936121474,1911842160,1884896086
"Plymouth",726439148,744463892,754577949,909376600,1002187894,1121846152,1193896064,1160098464,1207994972,1153756485,1142032033,1075877169,1081692950,1029418266
"Pomfret",274313577,296748664,343563936,410124913,470889152,467513311,529806021,569467485,507127771,517088016,508169747,485554110,454037339,424281528
"Portland",717842200,763099078,730262500,923746434,1028445647,1155149635,1221758286,1183547116,1235989791,1178765035,1136444991,1117214797,1138755293,1123640030
"Preston",313848232,346286267,390519882,376015823,518633248,563638206,648586961,650284639,630196911,618471910,587108055,556056278,550789648,545559501
"Prospect",714504268,698649980,876095744,963511595,1083971517,1230868615,1117667589,1250640124,1291438333,1149694825,1199311642,1170631255,1121080439,1192847706
"Putnam",481527474,555685145,615871108,733671839,677162886,891231152,1032338867,980772219,1004966921,912378650,878101755,806863164,730010176,789672372
"Redding",1618274789,1848134203,1955320567,1989709264,2516728187,2785546228,2885200069,2776443708,2869460967,2489043779,2433477140,2423819354,2284785227,2323953484
"Ridgefield",4841280493,5408500352,5870585174,5759828441,7234094501,7917590872,8370463986,8052661302,7808266020,7572191655,7210544084,7092960130,6861675340,6598704716
"Rocky Hill",1646900071,1915512839,2190518862,2350776824,2203211200,2717981445,2988857920,2959539490,3041593706,3156073966,2959219154,2763696337,2741368613,2784951675
"Roxbury",511144246,585831623,631348094,668679564,868997578,919653864,974583738,1005882174,1052434689,1047484169,970846028,1029198632,936257043,991561414
"Salem",309776071,339788581,342123773,456565757,508719759,555723753,634977946,607833016,600991342,546970134,546700093,557332251,512891607,489335928
"Salisbury",732007382,815825600,976372211,1121887711,1261254847,1467269419,1635933814,1785473033,1769985006,1611125732,1520975298,1628238829,1561736123,1569991945
"Scotland",95794444,111232938,119846267,126315290,128268134,172413629,183424134,202623043,194608924,183716527,175630973,157056218,151122287,153397640
"Seymour",1108466566,1197949985,1283596214,1567336666,1754319514,2031618973,1886467487,2115320761,2121453505,1936954352,1878591320,1787642556,1710743807,1663013492
"Sharon",489266471,515273572,596831052,803267014,738961826,966939124,987294856,1121755517,1158625132,1196530603,969416426,1109074374,986489881,985900864
"Shelton",4385846758,4721380531,4575124829,6031447800,6773869930,7423783121,8200001472,7095358371,7412846768,6983737203,6817934005,6465685754,6393817344,6470363305
"Sherman",524054643,610452434,717985719,824132603,903492083,1072393334,1169219958,1128022509,1101503318,1045613754,1027915499,963531156,901271767,970811488
"Simsbury",2543165654,2780634720,2978068913,2751608141,3346109612,3687323417,3991722896,3961195938,3715470880,3674498580,3717023506,3607413059,3505330154,3192698507
"Somers",726297767,807084498,872852931,956452024,1058500807,1034451474,1218534000,1258254155,1239380823,1178254634,1176551830,1137464430,1169982972,1110037653
"Southbury",2481592974,2768025898,2986294375,2780129999,3302064453,3527670228,3919921892,3677118033,3721949969,3356054674,3222574041,3167605345,2728456232,3000056220
"Southington",3300924101,3660673433,3698502447,4531714465,4994767172,5603060535,5540318231,6045594484,5968387721,5796798062,5765941720,5622660761,5316762764,5286801017
"South Windsor",2175198717,2451911064,2723598224,2822222233,3274707719,3563086894,3886167174,4073533759,3917940333,3778484983,3813398098,3598807424,3386291507,3525312497
"Sprague",200946964,192921400,227454616,277587721,294158591,288754753,347147772,329873326,310107322,288318917,289694027,256724061,277001389,234574730
"Stafford",705909346,686102221,834933885,927695299,1061266386,1149312291,1126337954,1301922866,1279871932,1155528631,1201376104,1127409492,1097801514,1046410611
"Stamford",15420005199,21595486805,23893513831,26594432347,29834627040,32333100324,35699097439,13438345880,34348965159,32681857513,29980542111,29591423350,28845672604,27068336287
"Sterling",182574183,199295889,230453569,221515057,329401173,395348139,422045729,415650613,456741871,377214193,405500835,361140930,345122763,320405687
"Stonington",2199231845,2371702784,2657441321,2825019521,3725561932,4225653292,4556571939,4812976599,4425913909,4050929947,4108445566,4074206314,3636910156,3708545647
"Stratford",4415836479,4578326059,5136764835,5844716285,6733739529,6479015269,8021427679,7746807389,7495976591,6788547960,6749119646,6257705490,6121995817,6517575795
"Suffield",1017878100,1227702340,1394671849,1526442132,1464463173,1789754126,1946906634,2049428680,2054688971,1985159390,1909453281,1953267664,1892114160,1948350556
"Thomaston",531012431,617955940,687661126,762055063,806643143,872660170,1016864719,893393803,927513409,823889467,811923586,730261208,751534593,751015892
"Thompson",531637920,530020301,681361273,763440589,889723631,900420177,1088074249,1089597463,1026835715,926075551,872284224,838281622,807310836,813723910
"Tolland",1077785794,1073753424,1285586442,1428356781,1612776581,1635127180,1908201113,1987898059,1990240266,1920145443,1819491626,1842304335,1781574139,1779999108
"Torrington",2067407460,2270964506,2469997974,2730835613,2650701710,3323905882,3585916580,3598018487,3590462162,3233808430,3382715193,3280718564,3163588444,2999332916
"Trumbull",4801965294,4754943789,5580344563,6382384167,7130216788,7348967943,7145961790,7420089444,7409467512,6753991308,6491209069,6674400349,6339433163,6635054926
"Union",66202397,69377151,85575049,90665116,89970827,139591656,141034547,152164343,124755776,135199429,152587977,139771359,128609416,125904473
"Vernon",1605826710,1739070399,1949965915,2208686376,2374852632,2597687500,2848133122,2017416957,2491857824,2455538731,2462690474,2540965785,2484656177,2402677895
"Voluntown",156995100,178208807,175482380,235909779,284622943,310869833,309945746,336427497,322893157,285912209,277594435,276837569,266836147,268254971
"Wallingford",3723201366,4011139532,4391118586,5241221722,5968895784,6513986848,6034647244,7054965181,7075703679,6770743132,6644907046,5959102100,5908424628,6075318040
"Warren",291140240,276219375,290206617,266620969,407815728,426345909,470585921,492666684,492194143,523960020,474367927,597859438,471325950,489722357
"Washington",827183829,1015320111,1080048390,1278335373,1303858829,1603445348,1824165239,1744351822,1882715345,1786697786,1667875309,1688543864,1539044495,1527331924
"Waterbury",4567623093,4759379739,4807277040,4907590914,5843956065,6659092769,7980077355,8097150675,7617694194,7035972434,7056499043,6105411822,5511932369,5758088707
"Waterford",4753053545,5229629008,3394459142,3545654929,4294825829,4622086966,5130130504,4888298670,5182071729,5048818612,4900346883,4640714679,4426753188,4533877854
"Watertown",1700124224,1903968963,2143413126,2416972842,2277721680,2818263762,3123837525,3235572510,2970805402,2796244961,2711910058,2560355224,2400494080,2460853869
"Westbrook",938213393,1100463545,1076986490,1457406275,1564365630,1739946036,1895070326,1884545581,1995186819,1843445781,1873317801,1699819090,1607615430,1628977476
"West Hartford",5124372924,6096879495,6752286664,7498407342,8194628368,8847511973,9287369286,6447326690,7332637978,7472184092,7137413505,7244491864,8400921331,9035908810
"West Haven",2657736092,2624902869,3209641166,3584697305,4119699824,4772998304,4391895576,5085223991,4601599298,4282163843,4200968454,4014297653,3861225600,3920079059
"Weston",2389624551,2854159638,3074223817,3356869508,3367091901,3974106477,4183066001,4292689369,3934316145,3740858564,3522242540,3614143912,3423962878,3587402584
"Westport",7758037456,10025027909,10371534144,11720374450,13092699521,14803575317,14746818910,16122885534,16130739195,14649694183,14735698117,13636314583,14306009245,14803064448
"Wethersfield",2043398264,2420108052,2599590018,2934207370,2795283343,3541097244,3728964091,3630413611,3637100135,3299287214,3274360078,3128048308,3146435531,3147128675
"Willington",394262843,446858038,495760017,537238778,531638439,653922978,714878418,735517451,728820264,670234110,670636841,654109289,599333683,629316327
"Wilton",4372391660,4775946627,5237287614,5188816214,6341196562,7147860186,7406249796,7370651746,7124700343,6733875072,6283042966,6346437727,6134734484,6054409014
"Winchester",626095978,692683611,755315793,816360584,961405534,1055824839,1139476803,1193301023,1186425063,1159887232,1148681921,1032016716,976395144,983598186
"Windham",804201204,888712429,922960130,1102723759,1199138959,1396499499,1305608579,1579693853,1598844233,1381718061,1472431838,1468464619,1205543088,1191547481
"Windsor",2419305071,2797870646,3108204837,3402721292,3264253914,3744909821,4152615879,4553843709,4533063159,4295760010,4039645772,4003835033,4026157221,4026160993
"Windsor Locks",1323941720,1512805150,1578789721,1614994887,1592022881,1870948984,2077922392,2009467885,2103647832,1965482324,1958535428,1686160158,1598600472,1833714636
"Wolcott",1065655157,1200409250,1202019857,1427466297,1597984020,1847012211,2105296070,1931156739,2032777268,2017577873,1945213318,1999758230,1794715471,1846423677
"Woodbridge",1267242519,1205923557,1411224047,1584600490,1769327007,1679135411,1924086374,1922531702,1958317509,1709202757,1693966700,1643255100,1631618463,1693844166
"Woodbury",947177347,1172774436,1399220890,1623909787,1387415139,1836357380,1925852235,1880217703,1914051565,1733594466,1623688758,1586206887,1489047858,1491656595
"Woodstock",547726487,574581239,673071797,798959826,919372226,1094767162,1080417283,1173979738,1110064076,1030406354,1021258366,976470972,963537919,937571433
